District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),Crop,State
DINAJPUR UTTAR, 2002-03,Kharif     ,1,1,1,Arhar/Tur,West Bengal
DINAJPUR UTTAR, 2003-04,Kharif     ,1,1,1,Arhar/Tur,West Bengal
DINAJPUR UTTAR, 2004-05,Rabi       ,30,19,0.633333333,Arhar/Tur,West Bengal
DINAJPUR UTTAR, 2005-06,Rabi       ,8,7,0.875,Arhar/Tur,West Bengal
DINAJPUR UTTAR, 2008-09,Rabi       ,24,19,0.791666667,Arhar/Tur,West Bengal
DINAJPUR UTTAR, 2010-11,Rabi       ,10,11,1.1,Arhar/Tur,West Bengal
DINAJPUR UTTAR, 2011-12,Rabi       ,14,6,0.428571429,Arhar/Tur,West Bengal
DINAJPUR UTTAR, 2014-15,Rabi       ,1,1,1,Arhar/Tur,West Bengal
HOOGHLY, 2008-09,Rabi       ,1,,0,Arhar/Tur,West Bengal
HOOGHLY, 2013-14,Rabi       ,101,126,1.247524752,Arhar/Tur,West Bengal
HOOGHLY, 2014-15,Rabi       ,101,120,1.188118812,Arhar/Tur,West Bengal
HOOGHLY, 2015-16,Rabi       ,110,85,0.772727273,Arhar/Tur,West Bengal
HOOGHLY, 2016-17,Rabi       ,104,129,1.240384615,Arhar/Tur,West Bengal
HOOGHLY, 2018-19,Rabi       ,57,89,1.561403509,Arhar/Tur,West Bengal
HOOGHLY, 2019-20,Rabi       ,60,196,3.266666667,Arhar/Tur,West Bengal
JALPAIGURI, 1997-98,Whole Year ,8,10,1.25,Arhar/Tur,West Bengal
JALPAIGURI, 1999-00,Kharif     ,19,15,0.789473684,Arhar/Tur,West Bengal
JALPAIGURI, 2000-01,Kharif     ,74,50,0.675675676,Arhar/Tur,West Bengal
JALPAIGURI, 2001-02,Kharif     ,15,12,0.8,Arhar/Tur,West Bengal
JALPAIGURI, 2002-03,Kharif     ,11,10,0.909090909,Arhar/Tur,West Bengal
JALPAIGURI, 2003-04,Kharif     ,30,32,1.066666667,Arhar/Tur,West Bengal
JALPAIGURI, 2004-05,Rabi       ,16,10,0.625,Arhar/Tur,West Bengal
JALPAIGURI, 2005-06,Rabi       ,14,12,0.857142857,Arhar/Tur,West Bengal
JALPAIGURI, 2006-07,Rabi       ,15,3,0.2,Arhar/Tur,West Bengal
JALPAIGURI, 2007-08,Rabi       ,17,15,0.882352941,Arhar/Tur,West Bengal
JALPAIGURI, 2008-09,Rabi       ,18,14,0.777777778,Arhar/Tur,West Bengal
JALPAIGURI, 2009-10,Rabi       ,12,13,1.083333333,Arhar/Tur,West Bengal
JALPAIGURI, 2010-11,Rabi       ,10,11,1.1,Arhar/Tur,West Bengal
JALPAIGURI, 2011-12,Rabi       ,10,4,0.4,Arhar/Tur,West Bengal
JALPAIGURI, 2012-13,Rabi       ,51,69,1.352941176,Arhar/Tur,West Bengal
JALPAIGURI, 2017-18,Rabi       ,175,289,1.651428571,Arhar/Tur,West Bengal
JALPAIGURI, 2018-19,Rabi       ,48,75,1.5625,Arhar/Tur,West Bengal
JALPAIGURI, 2019-20,Rabi       ,50,163,3.26,Arhar/Tur,West Bengal
"JHARGRAM
", 2016-17,Rabi       ,477,537,1.125786164,Arhar/Tur,West Bengal
"JHARGRAM
", 2017-18,Rabi       ,1088,1310,1.204044118,Arhar/Tur,West Bengal
"JHARGRAM
", 2018-19,Rabi       ,339,336,0.991150442,Arhar/Tur,West Bengal
"JHARGRAM
", 2019-20,Rabi       ,578,671,1.160899654,Arhar/Tur,West Bengal
"KALIMPONG
", 2019-20,Rabi       ,8,26,3.25,Arhar/Tur,West Bengal
MALDAH, 1997-98,Whole Year ,224,220,0.982142857,Arhar/Tur,West Bengal
MALDAH, 1998-99,Kharif     ,219,180,0.821917808,Arhar/Tur,West Bengal
MALDAH, 1999-00,Kharif     ,233,184,0.789699571,Arhar/Tur,West Bengal
MALDAH, 2000-01,Kharif     ,128,80,0.625,Arhar/Tur,West Bengal
MALDAH, 2001-02,Kharif     ,48,38,0.791666667,Arhar/Tur,West Bengal
MALDAH, 2002-03,Kharif     ,61,56,0.918032787,Arhar/Tur,West Bengal
MALDAH, 2003-04,Kharif     ,76,80,1.052631579,Arhar/Tur,West Bengal
MALDAH, 2004-05,Rabi       ,50,32,0.64,Arhar/Tur,West Bengal
MALDAH, 2005-06,Rabi       ,43,35,0.813953488,Arhar/Tur,West Bengal
MALDAH, 2006-07,Rabi       ,48,11,0.229166667,Arhar/Tur,West Bengal
MALDAH, 2007-08,Rabi       ,34,30,0.882352941,Arhar/Tur,West Bengal
MALDAH, 2008-09,Rabi       ,27,21,0.777777778,Arhar/Tur,West Bengal
MALDAH, 2009-10,Rabi       ,64,70,1.09375,Arhar/Tur,West Bengal
MALDAH, 2010-11,Rabi       ,51,56,1.098039216,Arhar/Tur,West Bengal
MALDAH, 2011-12,Rabi       ,26,12,0.461538462,Arhar/Tur,West Bengal
MALDAH, 2012-13,Rabi       ,32,44,1.375,Arhar/Tur,West Bengal
MALDAH, 2013-14,Rabi       ,35,45,1.285714286,Arhar/Tur,West Bengal
MALDAH, 2014-15,Rabi       ,50,64,1.28,Arhar/Tur,West Bengal
MALDAH, 2015-16,Rabi       ,727,902,1.240715268,Arhar/Tur,West Bengal
MALDAH, 2016-17,Rabi       ,196,344,1.755102041,Arhar/Tur,West Bengal
MALDAH, 2017-18,Rabi       ,210,504,2.4,Arhar/Tur,West Bengal
MALDAH, 2018-19,Rabi       ,161,510,3.167701863,Arhar/Tur,West Bengal
MALDAH, 2019-20,Rabi       ,289,945,3.269896194,Arhar/Tur,West Bengal
MEDINIPUR EAST, 2012-13,Rabi       ,9,12,1.333333333,Arhar/Tur,West Bengal
MEDINIPUR WEST, 1997-98,Whole Year ,304,60,0.197368421,Arhar/Tur,West Bengal
MEDINIPUR WEST, 1998-99,Kharif     ,361,250,0.692520776,Arhar/Tur,West Bengal
MEDINIPUR WEST, 1999-00,Kharif     ,496,406,0.818548387,Arhar/Tur,West Bengal
MEDINIPUR WEST, 2000-01,Kharif     ,2419,2380,0.983877635,Arhar/Tur,West Bengal
MEDINIPUR WEST, 2001-02,Kharif     ,834,289,0.346522782,Arhar/Tur,West Bengal
MEDINIPUR WEST, 2002-03,Kharif     ,558,379,0.67921147,Arhar/Tur,West Bengal
MEDINIPUR WEST, 2003-04,Kharif     ,1239,1515,1.222760291,Arhar/Tur,West Bengal
MEDINIPUR WEST, 2004-05,Rabi       ,654,381,0.582568807,Arhar/Tur,West Bengal
MEDINIPUR WEST, 2005-06,Rabi       ,274,286,1.04379562,Arhar/Tur,West Bengal
MEDINIPUR WEST, 2006-07,Rabi       ,329,199,0.604863222,Arhar/Tur,West Bengal
MEDINIPUR WEST, 2007-08,Rabi       ,154,72,0.467532468,Arhar/Tur,West Bengal
MEDINIPUR WEST, 2008-09,Rabi       ,212,104,0.490566038,Arhar/Tur,West Bengal
MEDINIPUR WEST, 2009-10,Rabi       ,225,48,0.213333333,Arhar/Tur,West Bengal
MEDINIPUR WEST, 2010-11,Rabi       ,224,197,0.879464286,Arhar/Tur,West Bengal
MEDINIPUR WEST, 2011-12,Rabi       ,128,36,0.28125,Arhar/Tur,West Bengal
MEDINIPUR WEST, 2012-13,Rabi       ,142,163,1.147887324,Arhar/Tur,West Bengal
MEDINIPUR WEST, 2013-14,Rabi       ,164,257,1.567073171,Arhar/Tur,West Bengal
MEDINIPUR WEST, 2014-15,Rabi       ,164,265,1.615853659,Arhar/Tur,West Bengal
MEDINIPUR WEST, 2015-16,Rabi       ,420,324,0.771428571,Arhar/Tur,West Bengal
MEDINIPUR WEST, 2016-17,Rabi       ,47,53,1.127659574,Arhar/Tur,West Bengal
MEDINIPUR WEST, 2017-18,Rabi       ,415,500,1.204819277,Arhar/Tur,West Bengal
MEDINIPUR WEST, 2018-19,Rabi       ,199,197,0.989949749,Arhar/Tur,West Bengal
MEDINIPUR WEST, 2019-20,Rabi       ,325,377,1.16,Arhar/Tur,West Bengal
MURSHIDABAD, 1997-98,Whole Year ,332,320,0.963855422,Arhar/Tur,West Bengal
MURSHIDABAD, 1998-99,Kharif     ,234,190,0.811965812,Arhar/Tur,West Bengal
MURSHIDABAD, 1999-00,Kharif     ,606,735,1.212871287,Arhar/Tur,West Bengal
MURSHIDABAD, 2000-01,Kharif     ,1266,840,0.663507109,Arhar/Tur,West Bengal
MURSHIDABAD, 2001-02,Kharif     ,1115,1634,1.465470852,Arhar/Tur,West Bengal
MURSHIDABAD, 2002-03,Kharif     ,1354,1436,1.0605613,Arhar/Tur,West Bengal
MURSHIDABAD, 2003-04,Kharif     ,442,457,1.033936652,Arhar/Tur,West Bengal
MURSHIDABAD, 2004-05,Rabi       ,157,174,1.108280255,Arhar/Tur,West Bengal
MURSHIDABAD, 2005-06,Rabi       ,70,75,1.071428571,Arhar/Tur,West Bengal
MURSHIDABAD, 2006-07,Rabi       ,319,131,0.410658307,Arhar/Tur,West Bengal
MURSHIDABAD, 2007-08,Rabi       ,372,392,1.053763441,Arhar/Tur,West Bengal
MURSHIDABAD, 2008-09,Rabi       ,83,165,1.987951807,Arhar/Tur,West Bengal
MURSHIDABAD, 2009-10,Rabi       ,195,240,1.230769231,Arhar/Tur,West Bengal
MURSHIDABAD, 2010-11,Rabi       ,113,166,1.469026549,Arhar/Tur,West Bengal
MURSHIDABAD, 2011-12,Rabi       ,26,12,0.461538462,Arhar/Tur,West Bengal
MURSHIDABAD, 2012-13,Rabi       ,26,33,1.269230769,Arhar/Tur,West Bengal
MURSHIDABAD, 2013-14,Rabi       ,69,100,1.449275362,Arhar/Tur,West Bengal
MURSHIDABAD, 2014-15,Rabi       ,145,242,1.668965517,Arhar/Tur,West Bengal
MURSHIDABAD, 2015-16,Rabi       ,140,88,0.628571429,Arhar/Tur,West Bengal
MURSHIDABAD, 2016-17,Rabi       ,139,239,1.71942446,Arhar/Tur,West Bengal
MURSHIDABAD, 2017-18,Rabi       ,209,449,2.148325359,Arhar/Tur,West Bengal
MURSHIDABAD, 2018-19,Rabi       ,119,352,2.957983193,Arhar/Tur,West Bengal
MURSHIDABAD, 2019-20,Rabi       ,229,733,3.200873362,Arhar/Tur,West Bengal
NADIA, 1997-98,Whole Year ,182,180,0.989010989,Arhar/Tur,West Bengal
NADIA, 1998-99,Kharif     ,88,70,0.795454545,Arhar/Tur,West Bengal
NADIA, 1999-00,Kharif     ,61,74,1.213114754,Arhar/Tur,West Bengal
NADIA, 2000-01,Kharif     ,1593,1060,0.665411174,Arhar/Tur,West Bengal
NADIA, 2001-02,Kharif     ,216,317,1.467592593,Arhar/Tur,West Bengal
NADIA, 2002-03,Kharif     ,249,264,1.060240964,Arhar/Tur,West Bengal
NADIA, 2003-04,Kharif     ,135,137,1.014814815,Arhar/Tur,West Bengal
NADIA, 2004-05,Rabi       ,110,97,0.881818182,Arhar/Tur,West Bengal
NADIA, 2005-06,Rabi       ,16,18,1.125,Arhar/Tur,West Bengal
NADIA, 2006-07,Rabi       ,22,11,0.5,Arhar/Tur,West Bengal
NADIA, 2007-08,Rabi       ,9,10,1.111111111,Arhar/Tur,West Bengal
NADIA, 2009-10,Rabi       ,42,56,1.333333333,Arhar/Tur,West Bengal
NADIA, 2010-11,Rabi       ,559,909,1.626118068,Arhar/Tur,West Bengal
NADIA, 2011-12,Rabi       ,447,200,0.447427293,Arhar/Tur,West Bengal
NADIA, 2012-13,Rabi       ,461,647,1.403470716,Arhar/Tur,West Bengal
NADIA, 2013-14,Rabi       ,256,398,1.5546875,Arhar/Tur,West Bengal
NADIA, 2014-15,Rabi       ,307,528,1.719869707,Arhar/Tur,West Bengal
NADIA, 2015-16,Rabi       ,180,118,0.655555556,Arhar/Tur,West Bengal
